NVIC_ID,SMILES,[Metabolism/Breast Cancer Resistance Protein] Predictions,[Metabolism/Breast Cancer Resistance Protein] Probability,[Metabolism/Breast Cancer Resistance Protein] Interpretation,[Metabolism/CYP 1A2 Inhibitor] Predictions,[Metabolism/CYP 1A2 Inhibitor] Probability,[Metabolism/CYP 1A2 Inhibitor] Interpretation,[Metabolism/CYP 1A2_substrate] Predictions,[Metabolism/CYP 1A2_substrate] Probability,[Metabolism/CYP 1A2_substrate] Interpretation,[Metabolism/CYP 2C19 Inhibitor] Predictions,[Metabolism/CYP 2C19 Inhibitor] Probability,[Metabolism/CYP 2C19 Inhibitor] Interpretation,[Metabolism/CYP 2C19_substrate] Predictions,[Metabolism/CYP 2C19_substrate] Probability,[Metabolism/CYP 2C19_substrate] Interpretation,[Metabolism/CYP 2C9 Inhibitor] Predictions,[Metabolism/CYP 2C9 Inhibitor] Probability,[Metabolism/CYP 2C9 Inhibitor] Interpretation,[Metabolism/CYP 2C9 Substrate] Predictions,[Metabolism/CYP 2C9 Substrate] Probability,[Metabolism/CYP 2C9 Substrate] Interpretation,[Metabolism/CYP 2D6 Inhibitor] Predictions,[Metabolism/CYP 2D6 Inhibitor] Probability,[Metabolism/CYP 2D6 Inhibitor] Interpretation,[Metabolism/CYP 2D6 Substrate] Predictions,[Metabolism/CYP 2D6 Substrate] Probability,[Metabolism/CYP 2D6 Substrate] Interpretation,[Metabolism/CYP 3A4 Inhibitor] Predictions,[Metabolism/CYP 3A4 Inhibitor] Probability,[Metabolism/CYP 3A4 Inhibitor] Interpretation,[Metabolism/CYP 3A4 Substrate] Predictions,[Metabolism/CYP 3A4 Substrate] Probability,[Metabolism/CYP 3A4 Substrate] Interpretation,[Metabolism/OATP1B1] Predictions,[Metabolism/OATP1B1] Probability,[Metabolism/OATP1B1] Interpretation,[Metabolism/OATP1B3] Predictions,[Metabolism/OATP1B3] Probability,[Metabolism/OATP1B3] Interpretation
NVIC0027,"C[C@@H]1C[C@]23[N+](C1)([O-])C[C@]1([C@@H](C2)C(C)(C)[C@@]2(C1)C(=O)Nc1c2ccc2c1C(=O)CC(O2)(C)C)N(C3=O)C	",Non-Inhibitor,0.081,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.033,Non-Inhibitor  (High Confidence),Non-Substrate,0.067,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Substrate,0.585,Substrate  (Low Confidence),Non-Inhibitor,0.153,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.162,Non-Substrate  (High Confidence),Non-Inhibitor,0.283,Non-Inhibitor  (Medium Confidence),Substrate,0.998,Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.087,Non-Inhibitor  (High Confidence)
NVIC0028,"OC[C@H]([C@H]([C@@H]([C@H](CO)O)O)O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O	",Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.261,Non-Substrate  (Medium Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.112,Non-Substrate  (High Confidence),Non-Inhibitor,0.1,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.021,Non-Inhibitor  (High Confidence)
NVIC0029,"NCCOB(c1ccccc1)c1ccccc1	",Inhibitor,0.64,Inhibitor  (Low Confidence),Inhibitor,0.854,Inhibitor  (High Confidence),Substrate,0.533,Substrate  (Low Confidence),Non-Inhibitor,0.084,Non-Inhibitor  (High Confidence),Non-Substrate,0.36,Non-Substrate  (Low Confidence),Non-Inhibitor,0.057,Non-Inhibitor  (High Confidence),Non-Substrate,0.05,Non-Substrate  (High Confidence),Non-Inhibitor,0.002,Non-Inhibitor  (High Confidence),Substrate,0.57,Substrate  (Low Confidence),Non-Inhibitor,0.173,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.309,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.016,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.05,Non-Inhibitor  (High Confidence)
NVIC0030,"CC(C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C)C	",Non-Inhibitor,0.32,Non-Inhibitor  (Medium Confidence),Inhibitor,0.998,Inhibitor  (High Confidence),Substrate,0.884,Substrate  (High Confidence),Inhibitor,0.915,Inhibitor  (High Confidence),Substrate,0.632,Substrate  (Low Confidence),Inhibitor,0.957,Inhibitor  (High Confidence),Substrate,0.693,Substrate  (Medium Confidence),Non-Inhibitor,0.004,Non-Inhibitor  (High Confidence),Non-Substrate,0.453,Non-Substrate  (Low Confidence),Non-Inhibitor,0.351,Non-Inhibitor  (Low Confidence),Substrate,0.611,Substrate  (Low Confidence),Non-Inhibitor,0.075,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.063,Non-Inhibitor  (High Confidence)
NVIC0031,"NC(=NC(=O)c1nc(Cl)c(nc1N)N)N	",Non-Inhibitor,0.053,Non-Inhibitor  (High Confidence),Inhibitor,0.96,Inhibitor  (High Confidence),Non-Substrate,0.374,Non-Substrate  (Low Confidence),Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Non-Substrate,0.351,Non-Substrate  (Low Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Inhibitor,0.663,Inhibitor  (Low Confidence),Non-Substrate,0.283,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.003,Non-Inhibitor  (High Confidence),Non-Substrate,0.02,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.02,Non-Inhibitor  (High Confidence)
NVIC0032,"CCCCN(C(=O)c1ccc(c(c1)OC)OC)CCCNC(=O)OC(C)(C)C	",Non-Inhibitor,0.26,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.217,Non-Inhibitor  (Medium Confidence),Substrate,0.529,Substrate  (Low Confidence),Non-Inhibitor,0.207,Non-Inhibitor  (Medium Confidence),Substrate,0.514,Substrate  (Low Confidence),Non-Inhibitor,0.045,Non-Inhibitor  (High Confidence),Non-Substrate,0.001,Non-Substrate  (High Confidence),Non-Inhibitor,0.008,Non-Inhibitor  (High Confidence),Non-Substrate,0.38,Non-Substrate  (Low Confidence),Non-Inhibitor,0.422,Non-Inhibitor  (Low Confidence),Non-Substrate,0.124,Non-Substrate  (High Confidence),Non-Inhibitor,0.404,Non-Inhibitor  (Low Confidence),Non-Inhibitor,0.178,Non-Inhibitor  (Medium Confidence)
NVIC0033,"CCOC(=O)C1=C(C)N=c2n(C1c1ccccc1)c(=O)/c(=C\c1cc(Br)ccc1OC(=O)C)/s2	",Inhibitor,0.931,Inhibitor  (High Confidence),Non-Inhibitor,0.17,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.217,Non-Substrate  (Medium Confidence),Inhibitor,0.886,Inhibitor  (High Confidence),Non-Substrate,0.343,Non-Substrate  (Low Confidence),Inhibitor,0.991,Inhibitor  (High Confidence),Substrate,0.565,Substrate  (Low Confidence),Non-Inhibitor,0.049,Non-Inhibitor  (High Confidence),Non-Substrate,0.384,Non-Substrate  (Low Confidence),Non-Inhibitor,0.295,Non-Inhibitor  (Medium Confidence),Substrate,0.754,Substrate  (Medium Confidence),Non-Inhibitor,0.462,Non-Inhibitor  (Low Confidence),Non-Inhibitor,0.256,Non-Inhibitor  (Medium Confidence)
NVIC0034,"O=S(=O)(C1=Cc2c(CC1)cccc2)Nc1ccc(cc1)n1cnnn1	",Inhibitor,0.92,Inhibitor  (High Confidence),Inhibitor,0.894,Inhibitor  (High Confidence),Non-Substrate,0.214,Non-Substrate  (Medium Confidence),Inhibitor,0.842,Inhibitor  (High Confidence),Non-Substrate,0.469,Non-Substrate  (Low Confidence),Inhibitor,0.939,Inhibitor  (High Confidence),Non-Substrate,0.11,Non-Substrate  (High Confidence),Inhibitor,0.566,Inhibitor  (Low Confidence),Non-Substrate,0.442,Non-Substrate  (Low Confidence),Inhibitor,0.726,Inhibitor  (Medium Confidence),Substrate,0.7,Substrate  (Medium Confidence),Non-Inhibitor,0.236,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.109,Non-Inhibitor  (High Confidence)
NVIC0035,"O=C1NC(=O)NC1(c1ccccc1)c1ccccc1	",Inhibitor,0.73,Inhibitor  (Medium Confidence),Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Non-Substrate,0.352,Non-Substrate  (Low Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.434,Non-Substrate  (Low Confidence),Non-Inhibitor,0.015,Non-Inhibitor  (High Confidence),Substrate,0.894,Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.385,Non-Substrate  (Low Confidence),Non-Inhibitor,0.04,Non-Inhibitor  (High Confidence),Substrate,0.632,Substrate  (Low Confidence),Non-Inhibitor,0.044,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.059,Non-Inhibitor  (High Confidence)
NVIC0036,"C[C@H]1O[C@H](C)CN(C1)C1=NC(=O)/C(=C/c2cn(nc2c2cc3c(o2)cccc3)c2ccccc2)/S1	",Inhibitor,0.984,Inhibitor  (High Confidence),Non-Inhibitor,0.154,Non-Inhibitor  (High Confidence),Substrate,0.76,Substrate  (Medium Confidence),Inhibitor,0.957,Inhibitor  (High Confidence),Non-Substrate,0.414,Non-Substrate  (Low Confidence),Inhibitor,0.967,Inhibitor  (High Confidence),Non-Substrate,0.003,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.426,Non-Substrate  (Low Confidence),Inhibitor,0.705,Inhibitor  (Medium Confidence),Non-Substrate,0.037,Non-Substrate  (High Confidence),Non-Inhibitor,0.379,Non-Inhibitor  (Low Confidence),Non-Inhibitor,0.15,Non-Inhibitor  (High Confidence)
NVIC0037,"CCN(c1nc(N)c(nc1Cl)C(=O)N=C(N)N)C(C)C	",Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Inhibitor,0.99,Inhibitor  (High Confidence),Substrate,0.533,Substrate  (Low Confidence),Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Non-Substrate,0.483,Non-Substrate  (Low Confidence),Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0.23,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.345,Non-Substrate  (Low Confidence),Non-Inhibitor,0.015,Non-Inhibitor  (High Confidence),Non-Substrate,0.127,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.038,Non-Inhibitor  (High Confidence)
NVIC0038,"CSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc2c1ncnc2N	",Non-Inhibitor,0.143,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.003,Non-Inhibitor  (High Confidence),Non-Substrate,0.097,Non-Substrate  (High Confidence),Non-Inhibitor,0.003,Non-Inhibitor  (High Confidence),Non-Substrate,0.381,Non-Substrate  (Low Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.243,Non-Substrate  (Medium Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.431,Non-Substrate  (Low Confidence),Non-Inhibitor,0.006,Non-Inhibitor  (High Confidence),Non-Substrate,0.045,Non-Substrate  (High Confidence),Non-Inhibitor,0.012,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.027,Non-Inhibitor  (High Confidence)
NVIC0039,"Nc1ncnc2c1[nH]cn2	",Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.05,Non-Inhibitor  (High Confidence),Non-Substrate,0.29,Non-Substrate  (Medium Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.333,Non-Substrate  (Low Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.005,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.288,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.006,Non-Inhibitor  (High Confidence),Non-Substrate,0.008,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.012,Non-Inhibitor  (High Confidence)
NVIC0040,"Oc1ccc2c(c1)o/c(=N\c1sc3c(c1C(=O)N)CCCC3)/c(c2)C(=O)N	",Inhibitor,0.588,Inhibitor  (Low Confidence),Inhibitor,0.973,Inhibitor  (High Confidence),Non-Substrate,0.208,Non-Substrate  (Medium Confidence),Inhibitor,0.993,Inhibitor  (High Confidence),Substrate,0.524,Substrate  (Low Confidence),Non-Inhibitor,0.338,Non-Inhibitor  (Low Confidence),Non-Substrate,0.032,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.431,Non-Substrate  (Low Confidence),Non-Inhibitor,0.392,Non-Inhibitor  (Low Confidence),Non-Substrate,0.026,Non-Substrate  (High Confidence),Inhibitor,0.661,Inhibitor  (Low Confidence),Non-Inhibitor,0.016,Non-Inhibitor  (High Confidence)
NVIC0041,"OCc1cnc(n1Cc1ccc(cc1)C)SCC(=O)N1CCCc2c1cccc2	",Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Inhibitor,0.867,Inhibitor  (High Confidence),Substrate,0.548,Substrate  (Low Confidence),Inhibitor,0.923,Inhibitor  (High Confidence),Non-Substrate,0.3,Non-Substrate  (Medium Confidence),Inhibitor,0.853,Inhibitor  (High Confidence),Substrate,0.966,Substrate  (High Confidence),Inhibitor,0.763,Inhibitor  (Medium Confidence),Non-Substrate,0.371,Non-Substrate  (Low Confidence),Inhibitor,0.942,Inhibitor  (High Confidence),Substrate,0.81,Substrate  (Medium Confidence),Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.155,Non-Inhibitor  (High Confidence)
NVIC0042,"O=C(CSc1nc(nc2c1c(=O)n(C)c(=O)n2C)c1ccco1)NCCc1ccccc1	",Inhibitor,0.837,Inhibitor  (High Confidence),Inhibitor,0.576,Inhibitor  (Low Confidence),Non-Substrate,0.327,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.214,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.411,Non-Substrate  (Low Confidence),Inhibitor,0.964,Inhibitor  (High Confidence),Substrate,0.715,Substrate  (Medium Confidence),Non-Inhibitor,0.267,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.418,Non-Substrate  (Low Confidence),Inhibitor,0.529,Inhibitor  (Low Confidence),Non-Substrate,0.177,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.312,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.071,Non-Inhibitor  (High Confidence)
NVIC0043,"Fc1ccc(cc1)n1nc2c(c1NC(=O)C(=O)NCC1CCCO1)CSC2	",Inhibitor,0.567,Inhibitor  (Low Confidence),Non-Inhibitor,0.12,Non-Inhibitor  (High Confidence),Non-Substrate,0.297,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.277,Non-Inhibitor  (Medium Confidence),Substrate,0.545,Substrate  (Low Confidence),Inhibitor,0.627,Inhibitor  (Low Confidence),Substrate,0.624,Substrate  (Low Confidence),Non-Inhibitor,0.009,Non-Inhibitor  (High Confidence),Non-Substrate,0.41,Non-Substrate  (Low Confidence),Non-Inhibitor,0.259,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.241,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.452,Non-Inhibitor  (Low Confidence),Non-Inhibitor,0.124,Non-Inhibitor  (High Confidence)
NVIC0044,"S=C1S/C(=C\c2ccc(o2)c2ccc(c(c2)C(=O)O)Cl)/C(=O)N1CCc1ccccc1	",Inhibitor,0.878,Inhibitor  (High Confidence),Inhibitor,0.77,Inhibitor  (Medium Confidence),Non-Substrate,0.326,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.431,Non-Inhibitor  (Low Confidence),Non-Substrate,0.32,Non-Substrate  (Medium Confidence),Inhibitor,0.997,Inhibitor  (High Confidence),Substrate,0.705,Substrate  (Medium Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.392,Non-Substrate  (Low Confidence),Inhibitor,0.558,Inhibitor  (Low Confidence),Non-Substrate,0.017,Non-Substrate  (High Confidence),Non-Inhibitor,0.469,Non-Inhibitor  (Low Confidence),Non-Inhibitor,0.177,Non-Inhibitor  (Medium Confidence)
NVIC0045,"O=C(N1CCN(CC1)C(=O)Nc1cccc(c1)c1ccccc1)Nc1cccc(c1)c1ccccc1	",Inhibitor,0.941,Inhibitor  (High Confidence),Inhibitor,0.875,Inhibitor  (High Confidence),Non-Substrate,0.111,Non-Substrate  (High Confidence),Inhibitor,0.991,Inhibitor  (High Confidence),Non-Substrate,0.44,Non-Substrate  (Low Confidence),Non-Inhibitor,0.24,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.294,Non-Substrate  (Medium Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.28,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.159,Non-Inhibitor  (High Confidence),Substrate,0.912,Substrate  (High Confidence),Inhibitor,0.748,Inhibitor  (Medium Confidence),Non-Inhibitor,0.293,Non-Inhibitor  (Medium Confidence)
NVIC0046,"N#Cc1ccc(cc1)C(c1cncn1Cc1ccc2c(c1)c(cc(=O)n2C)c1cccc(c1)Cl)O	",Non-Inhibitor,0.018,Non-Inhibitor  (High Confidence),Inhibitor,0.542,Inhibitor  (Low Confidence),Non-Substrate,0.242,Non-Substrate  (Medium Confidence),Inhibitor,0.984,Inhibitor  (High Confidence),Non-Substrate,0.265,Non-Substrate  (Medium Confidence),Inhibitor,0.997,Inhibitor  (High Confidence),Non-Substrate,0.072,Non-Substrate  (High Confidence),Inhibitor,0.727,Inhibitor  (Medium Confidence),Substrate,0.525,Substrate  (Low Confidence),Inhibitor,0.938,Inhibitor  (High Confidence),Non-Substrate,0.264,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.027,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.361,Non-Inhibitor  (Low Confidence)
NVIC0047,"O=C(OCC(c1ccc(cc1)Cl)(c1ccccc1)OCC[C@H]1CCCN1C)/C=C/C(=O)O	",Non-Inhibitor,0.208,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.003,Non-Inhibitor  (High Confidence),Non-Substrate,0.07,Non-Substrate  (High Confidence),Non-Inhibitor,0.125,Non-Inhibitor  (High Confidence),Non-Substrate,0.288,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.39,Non-Inhibitor  (Low Confidence),Non-Substrate,0.184,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.029,Non-Inhibitor  (High Confidence),Non-Substrate,0.1,Non-Substrate  (High Confidence),Non-Inhibitor,0.018,Non-Inhibitor  (High Confidence),Non-Substrate,0.316,Non-Substrate  (Medium Confidence),Inhibitor,0.53,Inhibitor  (Low Confidence),Non-Inhibitor,0.396,Non-Inhibitor  (Low Confidence)
NVIC0048,"CC(c1cc(O)c(cc1O)C(C)(C)C)(C)C	",Non-Inhibitor,0.312,Non-Inhibitor  (Medium Confidence),Inhibitor,0.846,Inhibitor  (High Confidence),Substrate,0.585,Substrate  (Low Confidence),Non-Inhibitor,0.16,Non-Inhibitor  (High Confidence),Substrate,0.542,Substrate  (Low Confidence),Non-Inhibitor,0.026,Non-Inhibitor  (High Confidence),Substrate,0.526,Substrate  (Low Confidence),Non-Inhibitor,0.044,Non-Inhibitor  (High Confidence),Non-Substrate,0.45,Non-Substrate  (Low Confidence),Non-Inhibitor,0.255,Non-Inhibitor  (Medium Confidence),Substrate,0.834,Substrate  (High Confidence),Non-Inhibitor,0.216,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.061,Non-Inhibitor  (High Confidence)
NVIC0049,"[Fe]	",Non-Inhibitor,0.236,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.297,Non-Inhibitor  (Medium Confidence),Substrate,0.902,Substrate  (High Confidence),Inhibitor,1,Inhibitor  (High Confidence),Non-Substrate,0.315,Non-Substrate  (Medium Confidence),Inhibitor,0.668,Inhibitor  (Medium Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.483,Non-Substrate  (Low Confidence),Non-Inhibitor,0.002,Non-Inhibitor  (High Confidence),Non-Substrate,0.005,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.01,Non-Inhibitor  (High Confidence)
NVIC0050,"Cc1cccc(c1)Cc1nn(c2c1c(N)ncn2)C(C)(C)C	",Inhibitor,0.851,Inhibitor  (High Confidence),Inhibitor,0.703,Inhibitor  (Medium Confidence),Non-Substrate,0.376,Non-Substrate  (Low Confidence),Inhibitor,0.88,Inhibitor  (High Confidence),Substrate,0.533,Substrate  (Low Confidence),Inhibitor,0.995,Inhibitor  (High Confidence),Non-Substrate,0.111,Non-Substrate  (High Confidence),Non-Inhibitor,0.022,Non-Inhibitor  (High Confidence),Substrate,0.539,Substrate  (Low Confidence),Inhibitor,0.768,Inhibitor  (Medium Confidence),Non-Substrate,0.293,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.107,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.048,Non-Inhibitor  (High Confidence)
NVIC0051,"Cn1cnc2c1c(=O)n(C)c(=O)n2C	",Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.173,Non-Inhibitor  (Medium Confidence),Substrate,0.762,Substrate  (Medium Confidence),Non-Inhibitor,0.003,Non-Inhibitor  (High Confidence),Non-Substrate,0.397,Non-Substrate  (Low Confidence),Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Non-Substrate,0.066,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.324,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.004,Non-Inhibitor  (High Confidence),Substrate,0.908,Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.025,Non-Inhibitor  (High Confidence)
NVIC0052,"COc1ccc(cc1OC)CCN(CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C	",Non-Inhibitor,0.327,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.005,Non-Inhibitor  (High Confidence),Substrate,0.909,Substrate  (High Confidence),Non-Inhibitor,0.014,Non-Inhibitor  (High Confidence),Substrate,0.549,Substrate  (Low Confidence),Non-Inhibitor,0.003,Non-Inhibitor  (High Confidence),Substrate,0.776,Substrate  (Medium Confidence),Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Substrate,0.629,Substrate  (Low Confidence),Inhibitor,0.84,Inhibitor  (High Confidence),Substrate,0.993,Substrate  (High Confidence),Non-Inhibitor,0.068,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.206,Non-Inhibitor  (Medium Confidence)
NVIC0053,"CN(S(=O)(=O)c1ccc2c(c1)CCN2S(=O)(=O)c1cccs1)C	",Inhibitor,0.913,Inhibitor  (High Confidence),Non-Inhibitor,0.028,Non-Inhibitor  (High Confidence),Non-Substrate,0.274,Non-Substrate  (Medium Confidence),Inhibitor,0.999,Inhibitor  (High Confidence),Substrate,0.524,Substrate  (Low Confidence),Inhibitor,0.984,Inhibitor  (High Confidence),Substrate,0.81,Substrate  (Medium Confidence),Non-Inhibitor,0.04,Non-Inhibitor  (High Confidence),Non-Substrate,0.329,Non-Substrate  (Medium Confidence),Inhibitor,0.528,Inhibitor  (Low Confidence),Substrate,0.939,Substrate  (High Confidence),Non-Inhibitor,0.079,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.078,Non-Inhibitor  (High Confidence)
NVIC0054,"CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC	",Inhibitor,0.694,Inhibitor  (Medium Confidence),Non-Inhibitor,0.259,Non-Inhibitor  (Medium Confidence),Substrate,0.736,Substrate  (Medium Confidence),Non-Inhibitor,0.068,Non-Inhibitor  (High Confidence),Substrate,0.602,Substrate  (Low Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.044,Non-Substrate  (High Confidence),Non-Inhibitor,0.024,Non-Inhibitor  (High Confidence),Substrate,0.67,Substrate  (Medium Confidence),Non-Inhibitor,0.048,Non-Inhibitor  (High Confidence),Substrate,0.696,Substrate  (Medium Confidence),Non-Inhibitor,0.058,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.049,Non-Inhibitor  (High Confidence)
NVIC0056,"CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@H]([C@H]3[C@]1(OC(=O)C)C3(C)C)C=C(C[C@]1([C@H]2C=C(C1=O)C)O)CO	",Non-Inhibitor,0.264,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.003,Non-Inhibitor  (High Confidence),Non-Substrate,0.246,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.03,Non-Inhibitor  (High Confidence),Non-Substrate,0.472,Non-Substrate  (Low Confidence),Inhibitor,0.965,Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.191,Non-Substrate  (Medium Confidence),Inhibitor,0.778,Inhibitor  (Medium Confidence),Non-Substrate,0.426,Non-Substrate  (Low Confidence),Non-Inhibitor,0.365,Non-Inhibitor  (Low Confidence),Inhibitor,0.613,Inhibitor  (Low Confidence)
NVIC0057,"Clc1ccccc1C(n1cncc1)(c1ccccc1)c1ccccc1	",Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Inhibitor,0.873,Inhibitor  (High Confidence),Non-Substrate,0.112,Non-Substrate  (High Confidence),Inhibitor,1,Inhibitor  (High Confidence),Non-Substrate,0.072,Non-Substrate  (High Confidence),Inhibitor,0.999,Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Inhibitor,0.716,Inhibitor  (Medium Confidence),Substrate,0.532,Substrate  (Low Confidence),Inhibitor,0.983,Inhibitor  (High Confidence),Substrate,0.931,Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.212,Non-Inhibitor  (Medium Confidence)
